Group	wk0	wk0.5	wk1	wk1.5	wk2	wk2.5	wk3	wk3.5	wk4	wk4.5	wk5	wk5.5
za_0as-1	13.2	14.7	15.7	16.6	16.5	16.7	17.6	16.5	16.7	16.7	17.2	17.6
za_0as-2	13.9	14.7	14.7	15	15.1	15.7	16.4	15.7	16	16.5	16.6	16.4
za_0as-3	16.3	17.4	17.8	17.9	18.2	18.4	19.3	18.8	18.4	18.7	18.6	18.4
za_0as-4	15.5	16.2	16.7	17.3	17.4	18.2	18.9	18.8	18.2	18.4	18.7	18.4
za_0as-5	16.6	17.4	17.3	17.6	17.5	17.8	18	18.2	18.8	19.2	19	19.6
za_0as-6	15.5	16.3	16.9	17	16.7	17.6	17.5	17.3	18.4	18.9	18.8	18.6
za_0as-7	11.9	14.9	15.1	16.3	16.4	17.1	17.7	17.7	18.2	18.3	19.1	18
za_0as-8	14	15.3	15.6	15.6	16.1	16.8	17.8	18.3	18.2	19.1	18.4	18.7
za_50as-1	16.7	17.5	17.6	18.2	19	19.4	20.1	19.9	20.3	20.4	20.3	20.8
za_50as-2	12.7	14	15.3	16.6	17.9	18.7	18.2	17.9	18.1	19	18.9	18.4
za_50as-3	16.2	17.1	17.5	18.4	18.5	19.3	19.5	19.1	20.7	21.1	20.7	20.9
za_50as-4	15.2	15.6	15.6	15.9	15.5	15.7	16.2	15.8	16	16.2	16.8	16.8
za_50as-5	16.9	17.1	17.2	18	18.8	18.8	19	19	19.7	20.4	19	20.1
za_50as-6	15.9	16.3	16.2	16.4	16.7	17.6	17.8	17.9	18.1	18.6	18	18.2
za_50as-7	14.6	16.5	16.7	16.6	16.6	16.9	16.7	16.8	17.3	17.9	18.5	18.7
za_50as-8	15.4	15.7	17.2	18.2	18.7	18.9	19.2	19.4	19.7	20.5	20.6	21.2
za_500as-1	10.3	13.7	15.1	15.6	15.9	16.7	17.6	17.6	17.1	17.5	18.1	18
za_500as-2	12.6	14.6	16	17.3	18.5	20.5	20.8	20.2	20.6	20.9	20.6	21.4
za_500as-3	14.1	15.5	16.1	16.3	16.1	16.3	16.7	16.5	16.4	16.3	16.7	17.3
za_500as-4	12.6	13.4	13.5	13.3	13.7	14.1	14.6	14.4	15.1	14.8	14.9	14.9
za_500as-5	15.4	16.3	16	16	16.6	16.5	16.9	16.6	17.4	17.6	18.4	18
za_500as-6	15.3	16.4	16.9	17.7	17.5	17.8	18.3	18.2	17.8	18.8	19.3	18.4
za_500as-7	13.1	15.9	17	18.2	19.1	19.9	20.3	21.5	21.9	22.5	23.1	23.5
za_500as-8	13.9	15.1	15.5	15.5	16	16.2	17	16.6	17	17.9	18	18.4
mzd_0as-1	15.9	17.2	17.1	17.7	18	18.4	18.8	18.2	18.5	19.9	18.9	18.7
mzd_0as-2	14.1	15.8	15.2	15.6	15.9	16	16.5	16.4	16.7	16.8	17.1	17.2
mzd_0as-3	11.8	13.6	14.7	15.6	16.1	16.1	15.9	16.3	16.7	18	17.3	16.8
mzd_0as-4	16.4	17.4	17.5	17.7	18.6	19	19	18.5	19.1	19.4	19.5	20
mzd_0as-5	14.8	15.7	17.4	16.7	16.7	16.9	17.7	17.3	18.5	18.9	18.8	19.2
mzd_0as-6	12.8	15	16.4	16.9	18	18	18.3	17.5	17.8	17.9	17.7	18.2
mzd_0as-7	15.1	16.6	17.2	17.9	18.1	18.9	20.3	19	19.8	19.5	20.1	19.5
mzd_0as-8	13.3	14.5	15.9	17	17.6	18.1	18.9	18.7	18.7	19.8	20.1	20.1
mzd_50as-1	17.3	18.7	19.1	20.4	20	20.7	21.1	19.5	20.1	21.2	21	21
mzd_50as-2	15.2	16	16.5	16.1	16.9	17.3	16.9	17.4	17.2	17.2	18.4	17.4
mzd_50as-3	14.2	14.9	16.1	16.2	17.1	17.7	18.1	16.7	17.5	17.6	17.5	17.8
mzd_50as-4	15.2	15.3	16.7	17.2	17.2	18	18.6	18.3	19.4	20.4	20.1	19.7
mzd_50as-5	14.7	15.4	16.7	16.5	17.1	17.1	16.9	17.7	17.1	18.3	17.8	17.5
mzd_50as-6	16.4	17.2	17.8	18.2	18.1	18.6	19.1	18.3	18.9	18.7	19	19.6
mzd_50as-7	11	14.4	15.6	16.5	16.9	17.9	18.4	18.1	19	19.6	19.3	19.4
mzd_50as-8	14.5	16.4	17.4	18.2	19.1	19.5	20.2	19.8	20	20.6	21.7	21.6
mzd_500as-1	14.9	15.9	17.3	18.5	18.5	19.6	20	20.2	20.4	21.2	21.4	22
mzd_500as-2	15.9	16.1	15.9	16.6	16.5	17.1	17.3	17.1	17.7	17.9	17.5	18.1
mzd_500as-3	14.3	14.8	15	15.1	16	16.4	16.5	17	17.2	18.2	17.6	18.3
mzd_500as-4	15.3	16.4	16.6	16.7	16.9	17.7	18.1	17.9	17.7	18.7	18.7	18.1
mzd_500as-5	15	16.5	16.4	17.1	17	17.9	18.7	18.2	18.7	18.8	19.1	19.5
mzd_500as-6	15.3	17.2	18.1	19.2	18.7	19.8	19.8	20.6	21.2	21.2	21	20.2
mzd_500as-7	14.3	14.6	15.8	15.9	16.3	16.8	17.3	16.4	16.7	16.8	17.4	17.6
mzd_500as-8	12.2	13.3	15.2	15	14.8	15.2	15.8	15.5	16	16.3	16.8	17
