Taxon	JR011	JR015	JR045	JR001	JR004	JR005	JR007	JR006	JR009	JR010	JR012	JR013	JR016	JR017	JR018	JR019	JR020	JR021	JR022	JR023	JR024	JR026	JR027	JR029	JR030	JR031	JR032	JR033	JR034	JR035	JR036	JR037	JR038	JR040	JR041	JR042	JR043	JR046	JR049	JR048	JR051	JR052	JR054	JR055	JR057	JR058	JR059	JR060	JR061	JR062	JR063	JR065	JR066	JR067	JR068	JR069	JR071	JR070	JR072	JR074	JR073	JR076	JR077	JR075	JR078	JR079	JR080	JR081	JR082	JR083	JR084	JR085	JR087	JR088	JR089	JR090	JR091	JR092	JR093	JR094	JR095	JR096	JR050	JR053	JR086	JR002	JR003	JR008	JR014	JR025	JR028	JR039	JR044	JR047	JR056	JR064
Unassigned;Other;Other;Other;Other;Other	37.0	59.0	15.0	58.0	33.0	51.0	58.0	76.0	63.0	42.0	133.0	14.0	17.0	31.0	51.0	55.0	40.0	69.0	13.0	54.0	6.0	48.0	66.0	32.0	54.0	56.0	15.0	39.0	18.0	13.0	59.0	38.0	55.0	40.0	36.0	31.0	43.0	26.0	16.0	36.0	48.0	36.0	13.0	31.0	8.0	16.0	7.0	11.0	48.0	9.0	12.0	57.0	11.0	15.0	5.0	25.0	13.0	14.0	11.0	28.0	14.0	30.0	66.0	14.0	46.0	49.0	74.0	10.0	16.0	15.0	4.0	53.0	61.0	54.0	11.0	20.0	12.0	6.0	88.0	15.0	39.0	45.0	2.0	22.0	21.0	12.0	42.0	32.0	56.0	4.0	34.0	8.0	18.0	10.0	11.0	9.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	4.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia	2.0	0.0	2.0	2.0	1.0	4.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	2.0	1.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	3.0	2.0	5.0	0.0	2.0	2.0	1.0	0.0	4.0	3.0	1.0	2.0	0.0	0.0	4.0	2.0	1.0	1.0	4.0	0.0	5.0	1.0	3.0	6.0	0.0	3.0	0.0	0.0	3.0	1.0	7.0	0.0	6.0	0.0	1.0	0.0	0.0	3.0	1.0	1.0	0.0	1.0	3.0	1.0	0.0	3.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	5.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__	1094.0	640.0	5.0	1604.0	1212.0	150.0	830.0	1335.0	7.0	180.0	750.0	2517.0	1212.0	315.0	1028.0	1631.0	130.0	1489.0	2179.0	22.0	2191.0	196.0	618.0	1050.0	1671.0	526.0	1380.0	1339.0	881.0	487.0	891.0	861.0	734.0	245.0	396.0	244.0	131.0	432.0	173.0	1230.0	270.0	452.0	190.0	133.0	67.0	33.0	202.0	60.0	93.0	213.0	1235.0	518.0	153.0	129.0	67.0	156.0	386.0	158.0	129.0	601.0	359.0	57.0	117.0	222.0	174.0	146.0	266.0	200.0	50.0	277.0	96.0	159.0	81.0	98.0	112.0	76.0	142.0	67.0	25.0	54.0	106.0	104.0	130.0	341.0	41.0	2793.0	2438.0	1745.0	1518.0	1319.0	594.0	1269.0	283.0	129.0	42.0	127.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__	3219.0	5160.0	2139.0	3887.0	5198.0	2611.0	3970.0	5495.0	755.0	3009.0	3009.0	2901.0	4371.0	2779.0	4742.0	3477.0	414.0	1964.0	4057.0	4888.0	47.0	4056.0	4550.0	5535.0	4078.0	4258.0	5197.0	5434.0	3396.0	1904.0	7929.0	5395.0	8012.0	4974.0	4999.0	2980.0	4820.0	3737.0	2284.0	5283.0	4627.0	3296.0	3910.0	3297.0	5617.0	3953.0	6267.0	5091.0	5010.0	3816.0	10122.0	6037.0	6389.0	6101.0	7598.0	6930.0	4389.0	6850.0	2750.0	6512.0	8257.0	3491.0	4529.0	4763.0	6346.0	4096.0	5430.0	4247.0	8232.0	7748.0	6134.0	4746.0	5429.0	4761.0	4637.0	1918.0	3903.0	3739.0	3292.0	6976.0	3125.0	2925.0	5428.0	4513.0	3250.0	1854.0	825.0	4830.0	4545.0	4316.0	2858.0	6352.0	6906.0	3936.0	4221.0	6225.0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Chryseobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Herpetosiphonales;f__;g__	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
